lead time,average price,special requests,market segment type_Corporate,market segment type_Offline,market segment type_Online
49,159,0,0,0,1
77,135,1,0,0,1
22,90,0,0,1,0
0,114,0,0,0,1
4,95,1,0,0,1
117,105,0,0,0,1
36,102,0,0,0,1
35,74,2,0,0,1
31,94,0,0,0,1
79,120,0,0,0,1
1,139,0,0,0,1
21,105,0,0,0,1
12,100,1,1,0,0
33,80,1,0,0,1
164,100,0,0,1,0
18,112,0,0,0,1
21,151,0,0,0,1
0,91,1,0,0,1
152,146,1,0,0,1
43,58,0,0,1,0
177,80,1,0,0,1
47,76,0,0,1,0
57,140,0,0,0,1
60,76,1,0,0,1
102,101,0,0,0,1
71,108,1,0,0,1
1,166,3,0,0,1
4,67,0,0,0,1
25,78,1,0,0,1
209,152,1,0,0,1
93,115,0,0,0,1
53,66,2,0,0,1
4,0,1,0,0,0
122,85,0,0,1,0
16,75,0,1,0,0
28,115,1,0,0,1
161,130,0,0,0,1
57,126,2,0,0,1
19,94,1,0,0,1
239,90,0,0,0,1
33,82,2,0,0,1
11,95,1,0,0,1
40,135,1,0,0,1
45,122,0,0,1,0
41,116,0,0,0,1
167,62,0,0,0,1
62,63,0,0,0,1
113,118,0,0,0,1
245,128,0,0,0,1
80,80,1,0,0,1
7,140,1,0,0,1
128,76,2,0,0,1
100,105,1,0,0,1
118,87,1,0,0,1
166,110,0,0,0,1
41,83,0,0,1,0
174,99,1,0,0,1
27,104,3,0,1,0
2,92,2,0,0,1
37,95,0,0,1,0
188,130,0,0,0,1
189,109,0,0,0,1
10,103,0,0,0,1
19,130,1,0,0,1
61,117,0,0,0,1
95,60,0,0,1,0
83,112,0,0,1,0
37,135,0,0,0,1
19,151,1,0,0,1
22,59,0,0,0,1
151,103,0,0,0,1
26,87,0,0,1,0
27,137,0,0,0,1
79,109,0,0,1,0
247,115,1,0,0,1
189,99,1,0,0,1
27,130,2,0,0,1
245,75,0,0,0,1
52,132,0,0,0,1
13,120,0,0,0,1
46,79,1,0,0,1
84,159,0,0,0,1
188,130,0,0,0,1
67,140,1,0,0,1
0,75,0,0,0,1
273,109,0,0,0,1
110,94,0,0,0,1
32,75,1,0,1,0
282,76,0,0,1,0
38,126,0,0,0,1
175,85,1,0,0,1
143,140,0,0,0,1
127,103,1,0,0,1
0,142,0,0,0,1
95,103,3,0,0,1
118,110,0,0,1,0
45,75,0,0,1,0
69,137,0,0,0,1
57,87,3,0,0,1
39,101,0,0,1,0
0,97,1,0,0,1
89,150,1,0,0,1
85,82,0,0,0,1
11,145,0,0,0,1
12,145,1,0,0,1
77,134,1,0,0,1
14,168,1,0,0,1
1,60,0,0,0,1
133,76,0,0,1,0
3,63,1,0,1,0
19,95,0,0,1,0
86,90,3,0,1,0
23,98,2,0,0,1
65,135,1,0,0,1
1,130,1,0,0,1
66,81,2,0,0,1
50,78,1,0,0,1
87,141,0,0,0,1
159,70,1,0,1,0
39,170,2,0,0,1
102,82,0,0,1,0
36,68,1,0,0,1
50,118,1,0,0,1
115,104,0,0,0,1
35,71,0,0,0,1
17,95,0,0,1,0
125,136,2,0,0,1
5,123,0,0,1,0
91,135,0,0,0,1
102,109,0,0,1,0
155,115,1,0,0,1
11,65,0,1,0,0
0,80,0,1,0,0
86,73,0,0,1,0
58,80,1,0,0,1
54,85,0,0,1,0
25,152,1,0,0,1
107,89,1,0,0,1
100,110,0,0,1,0
273,95,0,0,0,1
29,79,0,0,0,1
221,80,0,0,0,1
213,102,2,0,0,1
198,90,0,0,0,1
81,62,2,0,0,1
23,98,0,0,0,1
26,117,1,0,0,1
20,141,1,0,0,1
124,156,2,0,0,1
85,152,0,0,0,1
167,105,0,0,0,1
71,119,1,0,0,1
48,97,2,0,0,1
37,116,0,0,0,1
76,150,0,0,0,1
13,71,0,0,1,0
3,0,0,0,0,0
75,60,0,0,1,0
180,100,1,0,1,0
122,75,2,0,0,1
224,65,0,0,1,0
24,104,2,0,0,1
162,115,0,0,0,1
1,115,0,0,0,1
236,84,1,0,0,1
120,90,0,0,0,1
224,97,1,0,0,1
33,79,0,0,1,0
24,0,0,0,0,0
22,120,1,0,0,1
10,126,1,0,0,1
15,91,1,0,0,1
230,137,0,0,0,1
54,67,0,0,1,0
45,81,0,0,0,1
63,123,2,0,0,1
166,94,1,0,0,1
148,96,0,0,0,1
136,88,1,0,0,1
37,81,2,0,0,1
66,119,1,0,0,1
11,83,0,0,1,0
7,156,1,0,0,1
43,85,0,0,1,0
5,126,0,0,0,1
247,115,1,0,0,1
24,107,1,0,0,1
53,120,0,0,1,0
52,93,2,0,0,1
56,120,0,0,1,0
12,90,1,0,1,0
230,137,1,0,0,1
92,106,1,0,0,1
2,87,0,0,0,1
74,101,0,0,1,0
82,85,0,0,0,1
37,95,0,0,1,0
147,103,2,0,0,1
2,65,0,1,0,0
166,100,0,0,0,1
0,58,0,0,1,0
4,94,0,0,1,0
60,96,1,0,0,1
157,76,1,0,0,1
268,78,0,0,1,0
38,112,0,0,0,1
217,46,1,0,0,1
143,100,0,0,1,0
179,85,2,0,0,1
188,130,0,0,0,1
94,146,1,0,0,1
32,73,0,0,1,0
2,143,2,0,0,1
70,89,1,0,0,1
4,85,0,0,1,0
34,6,1,0,0,0
24,91,0,0,0,1
78,80,1,0,0,1
37,105,0,0,1,0
98,109,0,0,0,1
14,70,0,0,0,1
44,83,2,0,0,1
1,60,0,0,0,1
213,130,0,0,0,1
5,95,1,0,0,1
55,104,0,0,1,0
139,62,1,0,1,0
44,95,0,0,1,0
18,145,1,0,0,1
0,95,0,1,0,0
192,95,0,0,1,0
152,80,0,0,1,0
42,142,2,0,0,1
209,128,1,0,0,1
69,90,1,0,0,1
80,93,2,0,0,1
49,60,0,0,1,0
143,90,0,0,1,0
67,95,2,0,0,1
41,160,1,0,0,1
154,104,2,0,0,1
55,104,0,0,1,0
2,109,0,0,1,0
99,93,1,0,0,1
14,95,0,1,0,0
0,140,0,0,0,1
22,87,1,0,0,1
7,85,1,0,0,1
84,99,0,0,0,1
109,120,1,0,0,1
71,120,0,0,1,0
4,77,1,0,0,1
71,120,0,0,1,0
58,116,1,0,0,1
27,152,0,0,0,1
27,66,1,0,0,1
9,95,2,0,0,1
86,122,0,0,0,1
13,58,0,0,1,0
0,89,1,0,0,1
5,156,1,0,0,1
82,99,0,0,0,1
3,98,1,0,0,1
35,71,0,0,0,1
0,0,0,0,0,0
7,106,1,0,0,1
47,130,1,0,0,1
117,105,1,0,0,1
2,136,1,0,0,1
26,120,0,0,1,0
75,74,1,0,0,1
256,112,1,0,0,1
137,121,2,0,0,1
92,70,0,0,1,0
1,75,0,0,1,0
18,54,0,0,1,0
78,100,0,0,0,1
8,0,2,0,0,0
117,79,0,0,0,1
10,103,0,0,0,1
8,135,1,0,0,1
273,109,0,0,0,1
33,104,1,0,0,1
184,130,3,0,0,1
232,100,0,0,0,1
188,130,0,0,0,1
102,109,0,0,1,0
45,139,1,0,0,1
1,66,1,1,0,0
63,106,2,0,0,1
89,149,1,0,0,1
63,109,2,0,0,1
1,115,1,0,0,1
51,85,0,1,0,0
110,90,0,0,0,1
20,117,1,0,0,1
50,108,1,0,0,1
48,139,1,0,0,1
96,129,0,0,0,1
148,67,0,0,1,0
25,129,1,0,0,1
148,79,0,0,0,1
114,72,0,0,1,0
257,80,0,0,1,0
105,119,2,0,0,1
4,117,0,0,0,1
67,29,1,0,0,0
74,168,2,0,0,1
120,72,0,0,0,1
157,68,0,0,1,0
4,89,0,0,0,1
46,124,0,0,0,1
41,70,0,1,0,0
84,170,2,0,0,1
245,75,0,0,0,1
27,125,1,0,0,1
74,55,0,0,0,1
85,126,0,0,0,1
6,79,0,0,0,1
256,94,2,0,0,1
265,109,0,0,0,1
64,112,0,0,0,1
0,109,1,1,0,0
127,90,0,0,1,0
73,85,0,0,1,0
36,168,0,0,0,1
17,100,0,0,0,1
164,99,0,0,0,1
0,160,0,1,0,0
37,126,1,0,0,1
191,96,0,0,1,0
32,94,3,0,0,1
3,98,0,0,1,0
53,100,1,0,0,1
107,80,1,0,0,1
55,104,0,0,1,0
84,89,0,0,1,0
1,136,2,0,0,1
29,85,1,1,0,0
41,87,1,0,0,1
86,100,0,1,0,0
167,108,1,0,0,1
34,107,1,0,0,1
101,80,0,0,0,1
259,90,0,0,0,1
122,105,1,0,0,1
1,80,2,0,0,1
35,131,1,0,0,1
192,95,0,0,1,0
4,111,0,0,0,1
85,85,1,0,1,0
137,130,0,0,0,1
74,101,0,0,1,0
116,82,0,0,1,0
56,109,0,0,0,1
149,72,0,0,0,1
12,55,0,0,0,1
52,158,1,0,0,1
191,69,0,0,1,0
37,105,0,0,1,0
9,44,0,0,1,0
7,120,0,0,0,1
78,100,0,0,0,1
0,109,0,0,0,1
31,75,0,0,1,0
37,134,1,0,1,0
8,124,1,0,0,1
48,75,0,0,1,0
89,72,2,0,0,1
0,80,0,1,0,0
15,139,1,0,0,1
10,66,0,1,0,0
43,115,0,0,0,1
72,84,0,0,1,0
10,107,3,0,0,1
37,105,0,0,1,0
170,78,0,0,1,0
265,90,0,0,1,0
49,105,0,0,0,1
51,80,1,0,0,1
3,129,1,0,0,1
265,115,1,0,0,1
34,125,2,0,0,1
1,103,1,0,0,1
60,96,1,0,0,1
0,69,0,0,0,1
68,166,2,0,0,1
61,102,0,0,0,1
6,78,0,0,0,1
58,79,0,0,0,1
35,76,1,0,0,1
177,100,0,0,0,1
13,88,1,0,0,1
245,110,0,0,0,1
189,109,0,0,0,1
271,78,0,0,1,0
257,101,0,0,0,1
207,80,1,0,0,1
108,104,2,0,0,1
39,51,0,0,0,1
11,150,1,0,0,1
177,127,1,0,0,1
15,115,3,0,0,1
10,156,1,0,0,1
60,130,0,0,0,1
21,116,0,0,0,1
24,71,1,0,0,1
76,98,1,0,1,0
146,94,1,0,0,1
188,130,0,0,0,1
114,76,0,0,0,1
256,90,0,0,0,1
210,72,0,0,1,0
16,93,0,0,0,1
64,168,1,0,0,1
105,75,0,0,1,0
0,105,0,0,0,1
54,119,0,0,0,1
81,168,0,0,0,1
61,91,0,0,1,0
11,85,0,0,1,0
4,81,0,0,0,1
63,116,0,0,1,0
3,106,2,0,0,1
62,118,0,0,0,1
91,132,2,0,0,1
13,86,1,0,0,1
152,98,0,0,1,0
180,100,1,0,1,0
47,119,0,0,0,1
88,117,1,0,1,0
26,140,0,0,0,1
17,94,1,0,0,1
104,109,0,0,0,1
7,120,0,0,0,1
128,67,0,0,0,1
11,62,0,0,1,0
6,91,0,0,0,1
23,68,0,0,1,0
4,94,0,0,1,0
65,122,0,0,1,0
21,68,1,1,0,0
45,131,1,0,0,1
25,149,0,0,0,1
5,100,0,1,0,0
247,115,1,0,0,1
6,160,2,0,0,1
25,127,2,0,0,1
52,79,2,0,0,1
18,69,2,0,0,1
174,70,0,0,0,1
31,114,2,0,0,1
166,110,0,0,0,1
68,75,1,0,0,1
194,77,2,0,0,1
145,65,0,0,1,0
0,118,0,0,0,1
24,127,1,0,0,1
124,114,0,0,0,1
44,87,0,0,1,0
257,101,0,0,0,1
164,100,0,0,1,0
153,91,1,0,0,1
0,119,0,0,0,1
29,139,1,0,0,1
59,109,1,0,0,1
76,131,0,0,0,1
93,96,3,0,0,1
25,137,1,0,0,1
245,75,0,0,0,1
74,92,0,0,1,0
275,62,0,0,0,1
14,160,0,0,0,1
265,90,0,0,1,0
158,114,1,0,0,1
119,99,0,0,0,1
6,89,0,1,0,0
122,85,0,0,0,1
60,75,0,0,0,1
121,90,0,0,1,0
59,121,0,0,0,1
71,120,0,0,1,0
200,105,1,0,0,1
71,101,1,0,0,1
76,69,1,0,0,1
29,90,2,0,0,1
179,119,0,0,0,1
81,76,2,0,0,1
35,109,2,0,0,1
60,126,1,0,0,1
34,65,0,1,0,0
0,86,0,0,0,1
5,139,1,0,0,1
48,109,1,0,0,1
54,132,0,0,0,1
57,75,0,0,1,0
5,65,0,1,0,0
130,68,0,0,1,0
89,96,0,0,0,1
221,79,2,0,0,1
116,76,0,0,1,0
139,90,0,0,1,0
55,104,0,0,1,0
247,109,0,0,0,1
74,109,0,0,1,0
2,75,0,0,1,0
47,150,2,0,0,1
56,120,0,0,1,0
96,94,0,0,1,0
166,110,0,0,0,1
268,78,0,0,0,1
32,85,0,0,1,0
107,130,1,0,1,0
46,168,2,0,0,1
17,74,2,0,0,1
57,112,0,0,0,1
159,134,2,0,0,1
24,108,1,0,0,1
17,90,1,0,0,1
9,79,0,0,0,1
111,168,3,0,0,1
74,101,0,0,1,0
56,82,0,0,1,0
5,110,1,1,0,0
194,102,1,0,0,1
3,95,0,0,1,0
19,85,0,1,0,0
33,102,1,0,0,1
0,129,1,0,0,1
0,106,2,0,0,1
69,102,0,0,0,1
7,92,1,0,0,1
40,82,1,0,0,1
184,105,1,0,0,1
73,135,1,0,0,1
213,130,0,0,0,1
79,76,0,0,0,1
6,108,2,0,0,1
29,85,0,1,0,0
11,107,0,0,1,0
29,85,2,1,0,0
52,73,0,0,0,1
30,88,0,0,0,1
16,76,0,1,0,0
48,81,0,0,1,0
3,150,2,0,0,1
0,90,0,0,1,0
69,106,0,0,1,0
99,89,0,0,0,1
73,94,1,0,0,1
181,120,0,0,0,1
30,125,2,0,0,1
56,60,0,0,1,0
83,75,0,0,1,0
0,125,0,1,0,0
92,96,1,0,0,1
67,98,1,0,0,1
25,64,0,0,0,1
32,105,1,0,1,0
286,90,0,0,0,1
80,74,1,0,1,0
186,90,2,0,0,1
263,59,0,0,1,0
103,94,0,0,0,1
114,140,0,0,0,1
245,110,0,0,0,1
39,109,1,0,1,0
14,88,0,0,0,1
37,105,0,0,1,0
273,95,0,0,0,1
124,143,1,0,0,1
104,114,1,0,0,1
51,75,1,0,1,0
65,135,3,0,0,1
179,108,2,0,0,1
4,70,0,0,1,0
80,93,0,0,0,1
56,125,1,0,0,1
221,73,0,0,1,0
263,67,0,0,1,0
160,70,0,0,1,0
174,115,0,0,0,1
19,75,0,0,1,0
63,116,0,0,1,0
0,81,0,0,0,1
5,92,1,0,0,1
0,69,0,0,0,1
86,87,0,0,1,0
38,55,0,0,0,1
38,101,1,0,0,1
176,125,0,0,0,1
13,79,0,1,0,0
156,122,0,0,0,1
182,112,1,0,0,1
11,113,1,0,0,1
28,126,0,0,0,1
87,112,1,0,1,0
99,159,0,0,0,1
13,85,0,0,1,0
18,146,1,0,0,1
6,75,0,0,1,0
162,115,0,0,0,1
4,168,2,0,0,1
15,80,1,0,0,1
23,159,2,0,0,1
7,156,1,0,0,1
102,80,0,0,0,1
141,128,1,0,0,1
40,71,0,0,0,1
42,80,1,0,0,1
12,65,0,1,0,0
54,74,2,0,0,1
24,124,2,0,0,1
0,75,0,1,0,0
0,168,2,0,0,1
59,85,0,0,1,0
33,67,1,0,0,1
11,160,0,0,1,0
63,80,0,0,0,1
56,75,0,0,1,0
36,126,2,0,0,1
93,115,0,0,0,1
23,166,1,0,0,1
27,143,1,0,0,1
8,107,0,0,1,0
5,130,1,0,0,1
13,96,1,0,0,1
55,91,1,0,0,1
12,90,2,0,0,1
270,80,1,0,1,0
245,110,0,0,0,1
150,90,1,0,1,0
105,75,0,0,0,1
192,95,0,0,1,0
16,124,2,0,0,1
133,118,3,0,0,1
2,101,1,0,0,1
8,131,1,0,0,1
141,90,0,0,0,1
134,65,0,0,1,0
164,100,0,0,1,0
96,118,1,0,0,1
37,69,0,0,0,1
38,85,0,0,1,0
2,169,3,0,0,1
38,85,0,0,1,0
9,114,2,0,0,1
32,141,2,0,0,1
88,88,0,0,0,1
115,89,0,0,0,1
0,0,0,0,0,0
99,161,2,0,0,1
22,81,1,0,0,1
8,144,1,0,0,1
81,103,0,0,0,1
81,135,0,0,0,1
58,102,1,0,0,1
273,95,0,0,0,1
4,0,0,0,0,0
79,86,1,0,0,1
57,66,1,0,0,1
29,79,1,0,0,1
18,112,0,0,0,1
88,112,0,0,1,0
25,75,0,0,0,1
84,118,1,0,0,1
1,121,2,0,0,1
8,95,1,0,0,1
8,91,1,0,0,1
1,99,1,0,0,1
110,139,1,0,1,0
3,150,0,0,0,1
54,69,1,0,0,1
64,94,1,0,0,1
52,85,0,0,1,0
232,81,1,0,0,1
71,105,0,0,1,0
23,123,0,0,0,1
2,93,2,0,0,1
63,116,0,0,1,0
122,85,0,0,0,1
150,114,1,0,0,1
118,110,0,0,1,0
74,101,0,0,1,0
25,167,0,0,0,1
0,89,0,0,0,1
41,105,2,0,0,1
244,90,0,0,0,1
11,85,0,0,1,0
36,60,0,0,1,0
192,95,0,0,1,0
77,105,1,0,0,1
30,108,3,0,0,1
217,90,2,0,0,1
23,79,1,0,0,1
1,116,1,0,0,1
12,106,0,0,0,1
56,74,3,0,0,1
110,94,0,0,0,1
9,149,0,0,0,1
43,106,0,0,0,1
219,76,1,0,1,0
87,105,0,0,0,1
22,105,2,0,0,1
6,0,0,0,0,1
7,86,1,0,0,1
91,90,1,0,0,1
100,100,0,0,0,1
91,107,1,0,0,1
19,89,1,0,0,1
128,103,0,0,0,1
42,118,1,0,0,1
18,85,0,0,1,0
103,115,0,0,0,1
94,79,1,0,0,1
78,105,0,0,1,0
4,72,1,0,1,0
1,121,1,0,0,1
2,98,0,0,0,1
59,89,1,0,0,1
16,77,0,0,0,1
24,0,0,0,0,0
57,135,1,0,0,1
20,134,1,0,0,1
0,103,1,0,0,1
121,90,0,0,0,1
27,95,0,0,1,0
50,111,2,0,0,1
110,94,0,0,0,1
92,49,0,0,0,1
76,110,1,0,0,1
146,65,0,0,1,0
9,142,0,0,0,1
12,122,0,0,0,1
102,101,0,0,0,1
57,80,0,0,0,1
31,125,1,0,0,1
142,95,1,0,0,1
54,96,1,0,0,1
21,110,1,0,0,1
44,75,0,0,1,0
1,104,1,0,0,1
30,121,0,0,1,0
186,90,1,0,0,1
36,88,0,0,0,1
162,62,1,0,1,0
2,85,0,0,1,0
100,73,0,0,0,1
97,60,1,0,1,0
33,95,0,1,0,0
86,88,1,0,0,1
245,110,0,0,0,1
24,58,1,0,1,0
89,137,2,0,0,1
66,58,0,0,0,1
41,110,0,0,1,0
45,98,0,0,1,0
1,65,0,1,0,0
11,143,0,0,0,1
9,0,0,0,0,0
161,96,1,0,1,0
2,72,0,0,0,1
13,87,1,0,0,1
1,105,1,0,0,1
38,88,0,0,0,1
166,89,2,0,0,1
68,65,0,0,1,0
256,90,0,0,1,0
0,160,0,1,0,0
133,113,0,0,0,1
273,109,0,0,0,1
17,90,1,0,0,1
88,72,0,0,1,0
80,95,1,0,0,1
16,95,0,1,0,0
15,117,0,0,0,1
59,139,1,0,0,1
32,73,0,0,1,0
213,130,0,0,0,1
161,130,0,0,0,1
17,90,1,0,0,1
155,101,1,0,0,1
49,75,1,0,0,1
257,101,0,0,0,1
50,67,0,0,0,1
247,115,1,0,0,1
64,115,2,0,0,1
10,90,1,0,0,1
59,75,0,0,1,0
164,100,0,0,1,0
32,73,0,0,1,0
122,107,1,0,1,0
276,95,0,0,1,0
18,105,1,0,0,1
116,90,1,0,0,1
38,75,0,0,0,1
41,121,1,0,0,1
47,120,0,0,1,0
0,133,1,0,0,1
118,107,0,0,0,1
0,80,0,0,0,1
12,120,1,0,0,1
89,68,1,0,0,1
38,67,1,0,0,1
145,0,1,0,0,1
1,159,2,0,0,1
192,95,0,0,1,0
178,127,1,0,0,1
166,110,0,0,0,1
44,75,0,0,1,0
237,90,2,0,0,1
163,94,0,0,0,1
7,143,2,0,0,1
20,68,1,0,0,1
54,88,1,0,0,1
89,76,0,0,0,1
2,123,0,1,0,0
112,120,1,0,0,1
153,122,0,0,0,1
7,95,0,0,1,0
6,0,0,0,0,1
14,72,1,0,1,0
36,135,1,0,0,1
39,101,0,0,1,0
10,107,0,1,0,0
6,169,2,0,0,1
112,79,1,0,0,1
18,75,0,0,0,1
66,87,1,0,0,1
71,87,0,0,0,1
16,105,2,0,0,1
9,63,0,0,1,0
102,101,0,0,0,1
103,95,0,0,0,1
146,95,0,0,0,1
130,85,2,0,0,1
0,115,0,0,0,1
4,99,2,0,0,1
88,75,0,0,1,0
85,105,0,0,0,1
63,88,3,0,0,1
85,90,0,0,0,1
11,127,1,0,0,1
94,90,0,0,0,1
119,85,0,0,0,1
130,102,0,0,0,1
30,88,0,0,0,1
0,140,0,1,0,0
5,120,2,0,0,1
2,89,1,0,0,1
28,101,0,0,0,1
116,75,0,0,0,1
216,96,1,0,0,1
82,85,0,0,0,1
110,80,0,0,0,1
226,70,0,0,0,1
12,87,1,0,1,0
9,79,1,1,0,0
41,85,0,1,0,0
48,40,1,0,1,0
71,95,0,0,1,0
37,105,0,0,1,0
164,108,1,0,0,1
60,75,0,0,0,1
126,86,0,0,0,1
258,106,1,0,0,1
151,80,0,0,1,0
12,156,3,0,0,1
254,100,1,0,0,1
2,159,1,0,0,1
10,103,2,0,0,1
1,56,0,0,0,1
193,93,1,0,0,1
131,80,0,0,0,1
83,79,1,0,0,1
102,150,1,0,0,1
3,58,0,0,1,0
5,89,1,0,0,1
29,105,1,0,0,1
11,92,0,0,0,1
126,90,1,0,0,1
164,100,0,0,1,0
33,63,0,0,1,0
74,109,0,0,1,0
5,175,2,0,0,1
6,159,2,0,0,1
191,71,0,0,0,1
81,108,1,0,0,1
32,73,0,0,1,0
6,79,0,1,0,0
54,57,1,0,0,1
154,100,0,0,0,1
29,156,0,0,0,1
23,129,1,0,0,1
109,68,0,0,0,1
102,80,0,0,0,1
97,64,1,0,0,1
102,101,0,0,0,1
7,150,1,0,0,1
103,99,2,0,0,1
33,97,1,0,0,1
127,105,0,0,0,1
124,105,1,0,0,1
85,143,0,0,0,1
10,107,0,0,0,1
29,89,0,0,0,1
2,102,0,0,0,1
122,86,0,0,1,0
112,120,1,0,1,0
208,80,0,0,0,1
40,126,2,0,0,1
43,20,2,0,0,0
12,142,1,0,0,1
76,64,0,0,1,0
113,85,0,0,0,1
28,141,1,0,0,1
7,103,1,0,0,1
190,95,0,0,1,0
3,70,0,0,1,0
1,71,0,0,0,1
57,158,1,0,0,1
230,119,1,0,0,1
12,109,0,0,0,1
64,118,1,0,0,1
37,143,2,0,0,1
11,88,0,0,0,1
30,76,2,0,0,1
56,120,0,0,1,0
91,126,0,0,0,1
64,138,0,0,0,1
231,63,1,0,0,1
103,107,0,0,0,1
237,147,0,0,0,1
192,95,0,0,1,0
12,160,1,0,0,1
109,81,0,0,0,1
40,88,1,0,0,1
17,85,1,0,0,1
53,89,2,0,0,1
43,146,2,0,0,1
58,116,0,0,0,1
73,38,0,0,1,0
248,90,1,0,0,1
64,130,0,1,0,0
21,124,3,0,0,1
24,117,0,0,1,0
113,85,2,0,0,1
13,84,1,0,1,0
88,143,2,0,0,1
27,108,0,0,1,0
68,135,0,0,0,1
13,87,1,0,0,1
1,60,0,1,0,0
21,101,0,0,0,1
8,80,0,0,0,1
111,82,1,0,0,1
11,160,0,0,1,0
8,149,3,0,0,1
30,135,1,0,0,1
184,122,0,0,0,1
